Recursive Coverage Report Summary Data by DU

=================================================================================
=== Design Unit: work.SLAVE
=================================================================================
    Enabled Coverage              Bins      Hits    Misses  Coverage
    ----------------              ----      ----    ------  --------
    Assertions                      11         9         2    81.81%
    Branches                        40        39         1    97.50%
    Conditions                       4         4         0   100.00%
    Directives                      11        11         0   100.00%
    FSM States                       5         5         0   100.00%
    FSM Transitions                  8         8         0   100.00%
    Statements                      39        39         0   100.00%
    Toggles                        122       122         0   100.00%


Total Coverage By Design Unit (filtered view): 97.41%

